occupation_type,signup_goal,plan_type,signup_discount_used,avg_quiz_score,video_replay_count,course_completion_rate,days_since_last_login,engagement_trend,hands_on_exercises_completed,project_submissions,forum_posts,goal_progress_score,peer_completion_percentile,tenure_months,payment_failures,support_tickets_raised,satisfaction_score,churned,days_to_churn,monthly_price,clv
Student,Hobby,Monthly,Yes,38.5,6,20.3,23,0,0,0,0,18.1,6.0,24,0,2,2,1,5.0,15,375
Working Professional,Certification,Annual,Yes,59.9,2,64.1,3,-1,3,1,1,62.0,50.6,6,0,1,4,0,,10,70
Working Professional,Certification,Monthly,Yes,57.1,2,43.0,24,-1,4,0,1,34.0,22.8,1,1,3,3,1,5.0,15,30
Working Professional,Get a Job,Monthly,Yes,61.8,1,47.4,5,0,4,2,1,60.2,28.2,7,0,0,3,0,,15,120
Working Professional,Get a Job,Monthly,Yes,78.4,0,74.9,10,-1,5,3,0,80.1,67.6,21,0,1,4,0,,15,330
Student,Get a Job,Annual,No,68.4,4,79.7,5,0,8,1,1,30.9,75.9,3,1,0,5,0,,10,40
Student,Get a Job,Monthly,No,68.8,7,59.2,5,0,3,1,2,32.0,43.5,1,1,3,3,0,,15,30
Working Professional,Certification,Monthly,Yes,89.7,2,43.1,7,-1,4,1,0,62.0,23.0,9,0,2,3,1,87.0,15,150
Working Professional,Certification,Monthly,No,59.6,5,56.9,4,1,3,1,4,41.3,39.9,8,0,1,3,0,,15,135
Working Professional,Hobby,Monthly,No,98.0,0,65.4,15,-1,4,1,1,67.2,52.6,0,1,1,4,1,11.0,15,15
Working Professional,Certification,Annual,No,59.9,1,46.2,10,-1,6,2,0,59.2,26.8,15,0,1,3,0,,10,160
Career Switcher,Get a Job,Annual,Yes,71.3,3,78.0,11,0,9,1,1,32.9,72.7,8,1,0,5,0,,10,90
Working Professional,Get a Job,Monthly,Yes,65.8,2,28.1,2,1,1,0,2,0.0,10.3,1,0,1,3,0,,15,30
Student,Get a Job,Annual,Yes,71.9,4,30.4,34,0,6,2,2,81.4,11.7,0,0,3,1,0,,10,10
Student,Certification,Annual,Yes,76.7,3,55.1,10,0,3,6,3,100.0,37.9,24,0,1,3,0,,10,250
Student,Certification,Annual,No,76.5,0,74.2,2,1,11,3,4,75.0,66.5,11,0,1,4,0,,10,120
Student,Hobby,Monthly,Yes,58.7,3,21.2,13,1,2,1,1,77.9,6.5,3,1,0,2,1,130.0,15,60
Student,Get a Job,Annual,Yes,53.2,2,22.9,1,1,2,0,4,14.2,7.2,4,1,0,3,0,,10,50
Student,Get a Job,Monthly,No,100.0,0,76.6,0,0,9,2,3,65.3,70.7,6,0,1,4,0,,15,105
Student,Certification,Monthly,No,62.7,3,61.3,7,-1,7,3,0,75.9,46.9,10,0,1,4,1,70.0,15,165
Student,Get a Job,Monthly,Yes,80.5,0,66.3,8,0,1,0,2,2.3,54.0,1,0,0,4,0,,15,30
Career Switcher,Get a Job,Annual,No,45.9,4,30.4,2,1,1,1,3,47.2,11.7,1,1,0,3,0,,10,20
Student,Certification,Monthly,Yes,65.8,1,57.2,4,1,3,1,2,23.8,40.2,0,1,0,4,0,,15,15
Working Professional,Get a Job,Monthly,Yes,68.1,1,65.8,29,-1,5,1,0,25.2,53.0,24,0,1,3,1,268.0,15,375
Working Professional,Certification,Monthly,Yes,77.1,2,64.4,3,1,5,0,4,18.3,51.4,16,1,0,3,0,,15,255
Career Switcher,Get a Job,Annual,No,29.2,5,54.8,1,1,2,1,1,37.5,37.3,6,0,2,3,0,,10,70
Student,Get a Job,Annual,No,72.5,2,32.2,49,1,5,0,2,9.8,12.8,4,1,0,3,0,,10,50
Working Professional,Certification,Monthly,Yes,52.8,3,42.5,3,0,7,7,2,100.0,22.1,2,1,1,3,0,,15,45
Career Switcher,Certification,Annual,No,74.9,2,65.3,11,-1,5,1,2,79.8,52.6,7,0,3,3,0,,10,80
Career Switcher,Get a Job,Annual,Yes,54.5,4,57.4,2,1,3,1,4,42.6,40.3,9,1,0,3,0,,10,100
Career Switcher,Certification,Annual,No,57.2,1,71.9,7,1,10,4,4,82.6,62.9,9,1,1,4,0,,10,100
Student,Get a Job,Monthly,Yes,65.9,3,48.8,4,0,3,1,2,39.3,29.8,0,1,0,2,0,,15,15
Student,Hobby,Annual,Yes,54.2,3,30.5,32,0,2,0,0,46.7,11.8,9,0,0,2,0,,10,100
Working Professional,Certification,Monthly,No,62.9,4,24.5,5,1,1,0,1,25.0,8.1,16,0,1,3,1,178.0,15,255
Career Switcher,Get a Job,Annual,No,52.1,4,90.6,8,-1,9,1,2,38.9,89.0,0,1,3,4,0,,10,10
Working Professional,Certification,Monthly,Yes,42.5,5,20.5,28,-1,0,1,0,51.1,6.1,11,0,1,2,1,5.0,15,180
Working Professional,Hobby,Monthly,Yes,85.3,1,77.5,45,0,5,3,2,86.4,71.8,13,0,0,5,0,,15,210
Student,Certification,Monthly,Yes,50.6,4,91.0,1,1,11,2,4,61.0,89.6,2,0,1,5,0,,15,45
Working Professional,Get a Job,Annual,No,67.3,3,45.2,17,0,2,0,1,13.2,25.5,9,0,0,4,0,,10,100
Student,Get a Job,Monthly,No,81.3,2,80.4,4,-1,15,4,1,100.0,76.7,0,1,2,4,0,,15,15
Student,Hobby,Annual,No,60.8,3,34.3,9,0,3,0,2,33.5,14.4,8,0,0,3,0,,10,90
Working Professional,Certification,Monthly,Yes,57.6,3,28.8,4,1,3,3,5,63.5,10.6,5,0,0,3,0,,15,90
Working Professional,Certification,Annual,No,73.4,2,92.8,5,0,8,2,0,47.9,91.4,15,0,0,5,0,,10,160
Student,Get a Job,Annual,No,86.8,0,100.0,1,0,13,5,3,100.0,98.2,4,1,1,5,0,,10,50
Student,Get a Job,Annual,No,52.5,4,75.4,8,0,13,2,1,57.6,68.3,4,1,1,4,0,,10,50
Working Professional,Get a Job,Annual,No,67.7,4,74.8,7,1,10,5,2,100.0,67.5,21,0,0,3,0,,10,220
Student,Hobby,Monthly,Yes,44.0,11,36.3,2,0,4,3,1,64.3,16.2,21,0,0,3,1,20.0,15,330
Working Professional,Certification,Monthly,No,64.1,3,40.2,7,0,1,0,1,25.0,20.1,0,1,0,3,1,28.0,15,15
Student,Hobby,Annual,No,70.5,2,60.8,36,-1,3,1,1,45.6,45.9,5,0,1,3,0,,10,60
Working Professional,Certification,Monthly,No,57.2,1,44.9,12,0,1,1,1,44.3,25.2,1,0,0,3,0,,15,30
Working Professional,Certification,Annual,No,63.1,0,3.2,6,1,1,0,0,55.5,0.9,2,0,0,3,0,,10,30
Student,Certification,Annual,Yes,48.9,4,41.8,24,0,2,0,1,24.3,21.5,8,1,1,4,1,143.0,10,90
Student,Get a Job,Annual,No,71.2,5,66.1,8,0,7,2,0,65.6,53.4,1,0,0,3,1,165.0,10,20
Student,Hobby,Monthly,No,85.8,2,60.2,1,1,5,2,1,65.2,45.2,0,1,0,4,0,,15,15
Student,Hobby,Monthly,Yes,53.5,5,47.8,7,1,4,2,3,60.9,28.8,10,1,0,3,0,,15,165
Career Switcher,Certification,Annual,Yes,60.7,3,76.0,1,0,8,1,4,30.6,69.6,8,0,0,4,0,,10,90
Student,Certification,Annual,Yes,77.5,2,82.0,14,0,9,3,0,82.9,78.6,18,0,1,3,0,,10,190
Career Switcher,Get a Job,Annual,No,88.2,2,54.5,34,0,4,0,0,0.0,37.0,6,0,0,4,1,18.0,10,70
Student,Get a Job,Annual,No,47.6,6,6.8,4,0,2,1,2,24.8,1.4,23,0,1,2,1,60.0,10,240
Working Professional,Hobby,Annual,No,67.5,1,92.1,5,0,8,1,2,41.9,90.8,7,0,2,4,0,,10,80
Working Professional,Get a Job,Monthly,Yes,74.2,4,56.3,5,1,7,2,2,57.8,39.2,3,0,0,3,0,,15,60
Working Professional,Certification,Monthly,No,68.5,1,76.2,3,0,9,1,1,46.3,69.9,7,0,2,4,0,,15,120
Working Professional,Certification,Annual,Yes,32.8,14,52.6,15,-1,4,0,0,50.9,34.5,11,0,1,3,0,,10,120
Working Professional,Certification,Annual,Yes,77.5,2,73.1,9,1,6,0,5,39.5,64.6,3,0,0,4,0,,10,40
Student,Hobby,Annual,No,92.8,1,85.3,0,1,9,3,1,72.5,83.2,3,0,0,5,0,,10,40
Career Switcher,Get a Job,Annual,No,71.7,2,15.7,18,0,1,0,1,6.6,4.0,7,0,1,3,0,,10,80
Career Switcher,Get a Job,Monthly,Yes,54.5,2,42.9,2,0,4,1,2,31.7,22.6,4,1,0,3,0,,15,75
Career Switcher,Get a Job,Annual,Yes,62.3,2,66.5,38,0,5,1,1,23.7,54.3,5,0,0,4,1,80.0,10,60
Student,Certification,Monthly,Yes,96.5,1,77.1,4,1,11,1,4,13.4,71.3,24,1,0,4,0,,15,375
Working Professional,Certification,Monthly,No,83.6,1,86.8,9,1,6,2,5,40.9,85.1,0,0,0,5,0,,15,15
Career Switcher,Get a Job,Annual,No,79.6,1,93.9,0,0,4,2,0,71.7,92.4,8,0,1,5,0,,10,90
Student,Hobby,Monthly,Yes,75.3,1,88.4,4,0,10,3,2,59.3,87.0,20,1,0,5,0,,15,315
Student,Hobby,Annual,No,60.1,2,61.6,16,-1,5,1,1,42.1,47.4,2,0,3,3,0,,10,30
Working Professional,Get a Job,Annual,No,67.0,2,58.8,6,1,7,1,3,45.2,42.7,1,1,0,3,0,,10,20
Working Professional,Certification,Annual,Yes,68.8,3,43.6,23,0,5,0,1,0.0,23.6,3,0,0,3,0,,10,40
Career Switcher,Certification,Monthly,No,78.2,1,66.1,8,-1,9,5,0,96.2,53.5,0,0,0,4,0,,15,15
Student,Get a Job,Monthly,No,92.6,0,100.0,26,0,6,0,2,0.0,98.2,6,0,0,5,0,,15,105
Working Professional,Get a Job,Monthly,Yes,86.8,1,91.9,40,0,12,3,3,87.9,90.6,8,2,0,5,0,,15,135
Student,Get a Job,Annual,Yes,48.7,5,13.2,6,1,0,0,1,15.6,3.2,13,0,1,2,1,51.0,10,140
Student,Certification,Annual,Yes,73.4,3,56.3,8,-1,8,2,0,68.6,39.1,0,0,2,4,0,,10,10
Student,Get a Job,Annual,Yes,81.1,0,59.1,18,0,4,0,2,25.1,43.4,4,0,0,4,0,,10,50
Career Switcher,Hobby,Monthly,No,79.3,2,72.8,2,1,7,3,4,78.3,64.2,12,0,0,4,0,,15,195
Working Professional,Certification,Annual,No,60.6,4,65.7,19,0,4,0,2,33.7,52.9,11,0,1,4,0,,10,120
Working Professional,Certification,Monthly,No,100.0,1,83.9,8,1,10,1,2,81.5,81.6,0,0,1,5,0,,15,15
Working Professional,Certification,Monthly,No,50.8,6,57.3,12,-1,6,0,1,0.0,40.3,0,0,3,2,1,33.0,15,15
Career Switcher,Get a Job,Annual,No,53.8,4,37.3,0,1,3,1,4,57.0,17.3,12,0,0,3,0,,10,130
Working Professional,Certification,Annual,No,73.5,5,33.3,14,0,6,2,1,86.1,13.6,1,1,0,3,0,,10,20
Career Switcher,Certification,Monthly,Yes,100.0,0,94.2,3,1,16,0,3,27.8,92.8,6,0,0,4,0,,15,105
Working Professional,Certification,Monthly,Yes,57.5,2,88.9,16,-1,7,2,1,49.4,87.5,0,1,2,3,1,81.0,15,15
Working Professional,Certification,Annual,No,66.0,5,66.0,7,0,3,2,1,50.1,53.3,2,0,0,4,0,,10,30
Working Professional,Hobby,Monthly,Yes,86.2,0,77.4,3,1,7,2,4,55.7,71.7,1,0,0,4,1,185.0,15,30
Student,Hobby,Monthly,Yes,69.7,6,79.5,30,-1,6,1,0,67.9,75.5,10,0,4,3,0,,15,165
Working Professional,Certification,Annual,No,65.0,3,38.2,14,0,2,0,2,0.0,18.1,8,1,0,3,0,,10,90
Working Professional,Get a Job,Annual,No,78.5,0,95.8,42,-1,5,1,0,55.1,93.9,1,0,2,3,1,42.0,10,20
Student,Get a Job,Annual,Yes,74.1,3,43.1,4,1,4,3,2,85.0,22.9,0,0,3,2,0,,10,10
Career Switcher,Get a Job,Annual,No,85.5,1,71.8,10,0,12,1,1,46.8,62.7,5,1,0,4,0,,10,60
Working Professional,Certification,Annual,No,89.4,0,75.0,9,0,6,1,2,26.6,67.8,1,0,1,4,0,,10,20
Working Professional,Certification,Monthly,Yes,74.6,2,53.0,11,1,1,0,5,40.9,35.0,0,0,0,3,0,,15,15
Career Switcher,Get a Job,Annual,Yes,74.4,2,73.3,0,-1,8,4,0,100.0,64.8,2,0,2,3,0,,10,30
Working Professional,Hobby,Monthly,No,73.2,4,28.9,3,0,1,0,1,48.5,10.8,1,0,1,2,1,27.0,15,30
Student,Hobby,Monthly,Yes,77.3,3,70.9,24,-1,7,2,0,49.6,61.7,9,0,3,5,0,,15,150
Career Switcher,Certification,Annual,Yes,70.8,4,59.2,5,1,3,1,2,39.3,43.6,15,0,1,3,0,,10,160
Working Professional,Certification,Monthly,Yes,70.0,1,66.2,32,-1,5,3,0,56.5,53.5,2,0,3,3,1,15.0,15,45
Student,Certification,Monthly,No,87.9,3,54.4,2,-1,7,3,1,86.5,36.8,2,0,2,3,0,,15,45
Student,Get a Job,Monthly,Yes,92.7,0,68.1,59,0,7,2,4,73.4,56.6,3,0,3,3,0,,15,60
Working Professional,Get a Job,Annual,Yes,47.4,7,0.0,11,0,1,0,1,12.8,0.4,1,0,0,2,0,,10,20
Working Professional,Get a Job,Annual,Yes,70.2,2,41.0,14,-1,3,1,0,8.2,20.8,23,1,1,3,0,,10,240
Working Professional,Certification,Annual,No,59.7,4,46.3,5,0,6,4,2,100.0,26.9,2,0,0,3,0,,10,30
Career Switcher,Get a Job,Annual,Yes,65.3,1,65.1,23,-1,2,1,1,36.2,52.1,0,0,2,3,0,,10,10
Working Professional,Certification,Monthly,Yes,76.0,1,45.6,7,-1,1,0,2,0.0,26.2,6,0,0,3,1,10.0,15,105
Student,Get a Job,Monthly,No,80.0,2,89.8,11,-1,8,1,0,18.0,88.3,6,0,2,4,0,,15,105
Student,Certification,Monthly,Yes,68.3,1,44.8,0,0,5,2,0,44.2,25.1,7,1,0,4,0,,15,120
Student,Certification,Monthly,No,41.3,6,19.9,9,-1,1,0,0,30.0,5.9,24,1,1,2,1,5.0,15,375
Working Professional,Certification,Monthly,No,55.5,3,74.4,21,-1,7,4,0,74.7,66.8,3,0,2,3,0,,15,60
Student,Certification,Annual,No,83.4,0,100.0,1,1,6,1,1,31.7,98.2,3,1,1,5,0,,10,40
Working Professional,Certification,Annual,Yes,28.9,5,15.2,13,0,2,0,3,43.7,3.8,3,1,0,2,0,,10,40
Working Professional,Certification,Annual,No,87.8,1,70.1,0,-1,9,3,0,92.8,60.2,7,0,0,4,0,,10,80
Career Switcher,Get a Job,Monthly,No,77.8,0,74.7,26,0,10,2,1,69.5,67.3,7,1,0,4,0,,15,120
Student,Get a Job,Annual,No,89.7,1,70.0,40,0,4,0,2,0.0,60.0,6,0,0,4,1,97.0,10,70
Career Switcher,Get a Job,Monthly,Yes,67.0,4,26.3,4,1,0,1,0,44.4,9.0,3,0,0,2,0,,15,60
Student,Certification,Monthly,No,39.1,10,24.5,1,0,2,0,3,22.8,8.2,4,0,0,3,0,,15,75
Career Switcher,Certification,Annual,Yes,76.5,0,70.1,10,0,12,6,2,100.0,60.3,12,1,0,5,0,,10,130
Student,Get a Job,Annual,Yes,89.1,2,81.5,0,0,15,2,1,62.6,78.0,7,0,0,4,0,,10,80
Working Professional,Certification,Monthly,Yes,83.9,2,100.0,6,1,6,0,6,48.2,98.2,10,0,0,5,0,,15,165
Working Professional,Certification,Monthly,No,60.1,1,52.9,3,0,4,3,0,83.3,34.9,2,0,1,3,0,,15,45
Student,Hobby,Monthly,Yes,71.3,6,39.9,6,0,1,0,0,46.5,19.7,19,0,0,3,0,,15,300
Student,Hobby,Monthly,Yes,62.0,7,49.6,0,0,8,3,2,64.5,31.1,0,0,0,4,0,,15,15
Working Professional,Certification,Monthly,No,57.7,3,57.6,0,1,2,0,4,48.1,40.8,7,0,0,3,0,,15,120
Working Professional,Certification,Annual,No,84.3,1,77.5,0,1,10,4,2,100.0,71.8,13,0,0,4,0,,10,140
Working Professional,Hobby,Monthly,No,52.0,4,43.7,9,-1,5,1,0,45.0,23.7,16,0,3,2,0,,15,255
Working Professional,Certification,Monthly,Yes,56.6,6,21.9,8,0,1,0,2,23.4,6.8,3,0,0,2,1,67.0,15,60
Working Professional,Certification,Monthly,Yes,53.4,3,67.7,2,1,3,1,1,34.3,55.8,4,1,0,4,0,,15,75
Student,Get a Job,Annual,No,47.6,14,11.6,10,1,0,0,4,18.2,2.8,0,1,0,2,1,24.0,10,10
Student,Hobby,Monthly,No,72.2,3,84.2,21,-1,9,4,0,83.5,81.8,12,0,1,3,0,,15,195
Student,Hobby,Monthly,Yes,87.4,0,74.5,3,1,10,0,4,44.3,66.8,1,0,0,4,0,,15,30
Career Switcher,Get a Job,Annual,No,67.2,2,44.7,17,-1,4,2,3,56.4,25.0,4,0,0,3,0,,10,50
Working Professional,Certification,Annual,Yes,47.4,9,17.9,10,-1,2,0,0,51.9,5.0,24,1,2,3,1,56.0,10,250
Working Professional,Certification,Annual,Yes,82.6,0,82.3,0,0,14,0,1,7.7,78.9,19,0,2,4,0,,10,200
Working Professional,Get a Job,Annual,No,95.3,1,67.0,4,0,4,0,0,17.8,54.8,3,0,1,4,0,,10,40
Career Switcher,Hobby,Monthly,Yes,60.3,3,41.5,7,1,4,1,5,64.7,21.1,2,0,0,3,0,,15,45
Student,Get a Job,Annual,Yes,62.8,4,67.4,13,0,3,1,0,31.8,55.4,2,0,0,4,0,,10,30
Working Professional,Get a Job,Monthly,Yes,77.7,4,64.7,3,-1,5,2,0,45.5,51.9,9,1,3,3,1,61.0,15,150
Working Professional,Certification,Monthly,Yes,94.3,2,88.2,40,-1,9,4,0,95.7,86.7,10,1,3,4,1,5.0,15,165
Working Professional,Certification,Monthly,Yes,62.2,6,71.5,11,-1,11,2,2,77.9,62.5,1,1,0,4,0,,15,30
Student,Get a Job,Annual,No,50.0,1,68.4,4,1,3,0,3,27.7,57.0,2,0,0,5,0,,10,30
Career Switcher,Get a Job,Monthly,Yes,79.5,0,83.5,1,0,7,4,4,100.0,81.1,3,0,2,4,0,,15,60
Career Switcher,Get a Job,Annual,No,82.0,0,52.9,2,0,4,2,1,53.9,34.9,4,1,0,4,0,,10,50
Working Professional,Get a Job,Monthly,No,70.1,7,30.8,6,1,2,0,3,16.9,11.8,19,0,0,4,0,,15,300
Working Professional,Get a Job,Monthly,Yes,61.6,3,27.9,6,0,0,0,4,15.0,10.1,0,1,1,3,1,37.0,15,15
Career Switcher,Get a Job,Annual,No,84.9,0,74.3,14,-1,9,4,1,100.0,66.7,8,1,1,3,0,,10,90
Working Professional,Certification,Monthly,No,77.9,2,80.5,12,0,5,0,2,16.7,76.9,15,0,0,4,0,,15,240
Student,Hobby,Monthly,Yes,58.5,1,31.2,2,-1,0,1,1,59.0,12.0,10,1,1,2,1,5.0,15,165
Working Professional,Certification,Monthly,Yes,70.7,2,51.5,9,0,3,2,0,67.0,33.5,1,0,0,4,0,,15,30
Working Professional,Hobby,Monthly,No,49.7,3,35.3,0,1,3,1,1,86.4,15.3,5,0,0,4,0,,15,90
Working Professional,Certification,Monthly,Yes,80.3,1,65.0,5,0,2,0,1,31.3,52.1,19,0,1,4,0,,15,300
Working Professional,Hobby,Annual,No,66.1,2,38.6,14,0,5,4,2,100.0,18.8,0,1,0,3,0,,10,10
Career Switcher,Get a Job,Annual,No,63.5,1,78.6,5,1,9,5,1,100.0,73.8,24,0,0,5,0,,10,250
Career Switcher,Get a Job,Annual,No,69.5,2,36.5,18,-1,2,0,2,10.5,16.4,1,0,5,2,1,53.0,10,20
Working Professional,Get a Job,Monthly,No,70.6,7,61.8,37,1,4,0,3,22.4,47.6,1,0,0,4,0,,15,30
Student,Get a Job,Monthly,Yes,83.4,2,98.6,9,-1,5,3,1,77.2,95.9,13,1,1,5,0,,15,210
Career Switcher,Get a Job,Annual,Yes,78.9,1,62.3,1,1,6,1,5,33.1,48.0,14,0,1,3,0,,10,150
Career Switcher,Get a Job,Monthly,No,67.7,4,32.9,4,1,3,4,5,100.0,13.3,0,0,0,3,0,,15,15
Student,Get a Job,Monthly,Yes,81.5,0,76.5,0,1,11,2,0,58.4,70.7,1,1,1,4,0,,15,30
Career Switcher,Get a Job,Annual,No,76.0,3,81.0,9,-1,11,3,0,65.0,77.5,23,0,1,4,0,,10,240
Career Switcher,Get a Job,Annual,No,63.6,7,42.2,17,-1,11,2,0,78.0,21.9,2,2,1,3,1,16.0,10,30
Working Professional,Certification,Monthly,No,68.1,8,94.4,9,-1,13,3,0,70.4,92.9,0,1,3,4,0,,15,15
Working Professional,Certification,Monthly,Yes,67.8,4,65.8,15,0,3,1,0,56.8,52.9,2,0,1,4,0,,15,45
Working Professional,Certification,Annual,No,77.6,3,67.9,16,-1,3,2,0,63.7,56.3,10,1,1,4,0,,10,110
Student,Hobby,Annual,No,64.5,1,27.7,19,0,0,0,1,35.9,9.8,19,0,0,3,0,,10,200
Student,Certification,Annual,No,64.1,1,53.7,3,0,5,3,3,55.8,35.8,1,0,1,4,0,,10,20
Career Switcher,Get a Job,Annual,No,99.5,0,86.6,20,-1,6,0,0,0.9,84.9,2,0,1,5,0,,10,30
Student,Certification,Annual,No,84.1,0,100.0,10,-1,7,4,1,86.5,98.2,4,0,2,4,0,,10,50
Student,Hobby,Annual,No,58.6,2,56.5,3,1,7,1,3,42.9,39.5,11,0,1,4,0,,10,120
Working Professional,Certification,Annual,Yes,78.6,2,76.4,43,0,11,0,2,15.4,70.3,8,0,1,5,0,,10,90
Working Professional,Certification,Monthly,Yes,71.8,7,35.5,29,-1,5,1,2,34.7,15.5,3,0,1,2,1,72.0,15,60
Career Switcher,Get a Job,Annual,No,75.9,3,85.6,8,1,5,3,4,89.6,83.7,0,0,0,5,0,,10,10
Student,Certification,Monthly,Yes,72.1,6,75.3,18,-1,9,6,0,100.0,68.2,2,0,3,3,0,,15,45
Student,Certification,Monthly,Yes,87.8,3,53.2,3,1,3,2,4,42.5,35.2,1,0,1,4,0,,15,30
Working Professional,Certification,Annual,No,75.2,3,81.1,5,1,8,3,2,61.8,77.6,0,0,1,5,0,,10,10
Working Professional,Certification,Monthly,No,69.1,2,34.6,2,0,7,1,2,48.2,14.8,24,0,1,3,0,,15,375
Student,Certification,Annual,No,85.6,1,59.6,7,-1,6,0,0,27.5,44.3,2,0,4,2,0,,10,30
Working Professional,Certification,Monthly,No,73.5,3,88.9,6,0,14,2,2,54.5,87.6,14,0,2,4,0,,15,225
Student,Hobby,Monthly,Yes,71.8,1,72.7,2,-1,7,1,0,63.8,64.0,5,2,0,4,0,,15,90
Student,Certification,Annual,No,74.7,2,42.9,11,1,4,0,0,32.8,22.6,24,0,0,3,0,,10,250
Working Professional,Certification,Annual,Yes,68.6,2,51.8,1,1,5,2,2,35.7,33.7,1,0,1,3,0,,10,20
Working Professional,Certification,Monthly,Yes,70.1,1,48.7,0,1,4,2,3,48.0,29.5,0,0,1,4,1,46.0,15,15
Career Switcher,Certification,Monthly,No,61.2,2,32.5,4,1,7,2,3,35.1,13.0,0,0,1,2,0,,15,15
Working Professional,Get a Job,Annual,Yes,58.7,4,44.2,5,0,5,1,1,33.2,24.2,10,0,1,3,0,,10,110
Working Professional,Hobby,Monthly,No,55.0,1,70.7,3,-1,9,3,1,50.1,61.1,2,0,1,3,1,59.0,15,45
Working Professional,Certification,Annual,No,49.1,8,16.5,2,1,1,0,6,3.6,4.4,16,0,0,3,0,,10,170
Student,Certification,Annual,No,56.8,3,64.3,4,1,1,0,2,0.0,51.1,8,0,0,5,0,,10,90
Working Professional,Get a Job,Monthly,No,67.4,4,43.8,1,1,3,0,4,29.8,23.8,6,0,0,3,0,,15,105
Student,Certification,Monthly,Yes,71.5,4,31.3,5,1,4,2,3,39.5,12.2,5,0,0,2,0,,15,90
Career Switcher,Get a Job,Monthly,No,65.9,0,78.9,23,-1,8,2,0,56.8,74.3,2,0,2,3,1,5.0,15,45
Student,Get a Job,Annual,Yes,34.7,10,0.0,2,-1,0,0,0,10.6,0.4,0,0,2,1,1,21.0,10,10
Working Professional,Certification,Monthly,Yes,93.6,0,100.0,11,0,12,4,1,91.8,98.2,4,0,0,5,0,,15,75
Student,Hobby,Monthly,No,86.3,3,95.0,1,0,7,1,2,59.3,93.2,0,1,0,4,0,,15,15
Career Switcher,Get a Job,Annual,No,76.7,0,82.7,4,1,10,0,1,9.5,79.9,18,0,0,5,0,,10,190
Working Professional,Certification,Annual,No,98.6,1,73.3,3,0,8,1,0,38.2,64.9,14,0,1,4,0,,10,150
Working Professional,Get a Job,Monthly,Yes,55.3,3,47.6,27,-1,5,0,0,12.2,28.5,7,0,1,3,1,5.0,15,120
Student,Certification,Monthly,No,98.3,0,83.0,5,0,18,1,3,48.1,80.4,4,0,0,5,0,,15,75
Working Professional,Get a Job,Annual,No,55.5,5,58.7,11,0,3,2,2,60.5,42.5,4,0,0,4,0,,10,50
Student,Certification,Annual,Yes,73.6,3,35.8,9,0,4,1,0,54.6,15.8,4,1,0,3,0,,10,50
Career Switcher,Certification,Annual,No,50.9,2,56.4,1,0,3,0,1,20.6,39.2,10,2,1,3,0,,10,110
Student,Certification,Monthly,No,70.2,4,60.2,28,-1,4,1,1,42.0,45.0,1,0,1,3,1,39.0,15,30
Student,Get a Job,Monthly,Yes,75.8,2,75.5,4,1,6,1,1,21.7,68.5,6,0,1,4,0,,15,105
Student,Certification,Annual,Yes,67.7,4,99.8,0,0,7,1,3,41.3,96.4,13,0,0,5,0,,10,140
Working Professional,Certification,Monthly,Yes,80.7,2,78.0,3,0,10,2,3,50.4,72.7,5,0,0,3,0,,15,90
Working Professional,Certification,Annual,Yes,71.5,3,19.7,4,0,2,0,0,45.8,5.8,0,0,1,2,0,,10,10
Student,Hobby,Monthly,Yes,62.2,3,34.8,0,0,0,0,1,18.1,14.9,2,0,0,3,0,,15,45
Working Professional,Certification,Monthly,No,61.5,0,69.1,9,0,7,4,2,82.9,58.2,8,0,0,4,0,,15,135
Working Professional,Certification,Annual,No,82.2,0,69.2,4,0,3,1,1,37.1,58.5,21,0,0,5,0,,10,220
Working Professional,Certification,Annual,No,60.2,3,35.1,9,-1,5,0,0,40.1,15.2,17,0,0,3,0,,10,180
Working Professional,Certification,Monthly,No,83.7,2,100.0,0,0,5,0,0,10.9,98.2,13,0,1,4,0,,15,210
Working Professional,Get a Job,Annual,No,88.3,3,82.5,40,-1,10,2,1,60.0,79.5,23,0,1,4,0,,10,240
Working Professional,Certification,Monthly,Yes,45.0,0,16.0,1,1,1,0,4,31.2,4.1,2,0,1,2,0,,15,45
Student,Certification,Monthly,Yes,87.0,2,38.5,10,-1,7,1,0,58.9,18.4,0,1,3,1,1,5.0,15,15
Student,Certification,Monthly,Yes,100.0,1,89.3,12,0,10,4,2,77.2,87.8,3,1,0,5,0,,15,60
Career Switcher,Get a Job,Annual,No,73.8,3,55.3,1,0,6,1,1,21.9,38.1,6,0,1,5,0,,10,70
Career Switcher,Get a Job,Annual,Yes,79.0,0,99.5,1,1,9,4,4,100.0,96.3,3,1,0,5,0,,10,40
Working Professional,Certification,Annual,Yes,85.6,1,63.6,1,1,4,0,3,9.1,49.9,0,1,1,4,0,,10,10
Student,Get a Job,Monthly,Yes,65.9,3,47.5,2,0,6,2,1,54.8,28.4,5,1,0,3,0,,15,90
Working Professional,Get a Job,Annual,Yes,72.7,2,61.0,1,1,6,3,2,82.6,46.2,1,0,0,4,0,,10,20
Working Professional,Certification,Monthly,Yes,50.3,3,80.1,11,-1,15,4,1,99.2,76.4,10,0,1,5,0,,15,165
Student,Get a Job,Annual,No,72.1,2,60.2,5,-1,5,0,1,0.0,44.9,0,0,1,4,0,,10,10
